route_id,day_of_week,hour,weather,is_holiday,is_weekend,capacity,passenger_count,max_segment_pax,min_segment_pax,rush_level
Guntur-Amaravati,Monday,12,Rainy,0,0,60,40,35,11,Medium
Tenali-Repalle,Saturday,17,Sunny,0,1,42,27,35,11,Medium
Guntur-Nallapadu,Wednesday,22,Sunny,0,0,48,22,21,5,Medium
Guntur-Mangalagiri,Wednesday,20,Sunny,0,0,52,35,45,15,Medium
Guntur-Amaravati,Tuesday,10,Cloudy,0,0,60,60,60,25,High
Guntur-Tenali,Sunday,20,Cloudy,0,1,55,28,39,13,Medium
Guntur-Brodipet,Saturday,20,Cloudy,0,1,52,21,29,8,Medium
Guntur-Narasaraopet,Wednesday,5,Sunny,0,0,55,28,23,8,Medium
Guntur-Narasaraopet,Saturday,9,Cloudy,0,1,55,35,38,12,Medium
Guntur-Mangalagiri,Thursday,19,Sunny,0,0,52,40,52,17,High
Tenali-Repalle,Wednesday,7,Foggy,0,0,42,42,42,16,High
Tenali-Chirala,Saturday,8,Cloudy,0,1,48,21,25,7,Medium
Tenali-Vijayawada,Thursday,6,Sunny,1,0,60,36,38,11,Medium
Tenali-Ongole,Saturday,15,Sunny,0,1,50,12,10,3,Low
Guntur-Sattenapalli,Monday,18,Rainy,0,0,50,50,50,23,High
Guntur-Ponnur,Friday,18,Sunny,0,0,45,40,45,14,High
Guntur-Nallapadu,Tuesday,16,Sunny,0,0,48,16,14,5,Low
Guntur-Brodipet,Saturday,10,Sunny,0,1,52,25,37,10,Medium
Tenali-Guntur,Thursday,7,Cloudy,0,0,55,50,55,23,High
Tenali-Guntur,Saturday,10,Cloudy,0,1,55,22,26,11,Medium
Tenali-Vijayawada,Friday,9,Rainy,1,0,60,60,60,27,High
Guntur-Ponnur,Tuesday,22,Rainy,0,0,45,28,21,9,Medium
Guntur-Tenali,Sunday,7,Sunny,0,1,55,26,33,11,Medium
Tenali-Ongole,Friday,6,Cloudy,1,0,50,23,22,7,Medium
Guntur-Narasaraopet,Tuesday,17,Sunny,1,0,55,48,55,17,High
Guntur-Ponnur,Friday,22,Sunny,0,0,45,16,16,5,Low
Tenali-Guntur,Wednesday,11,Cloudy,0,0,55,23,14,9,Medium
Guntur-Mangalagiri,Friday,16,Sunny,0,0,52,22,16,5,Medium
Guntur-Brodipet,Friday,22,Sunny,0,0,52,18,19,5,Low
Guntur-Ponnur,Sunday,9,Sunny,0,1,45,21,26,7,Medium
Tenali-Bapatla,Saturday,14,Rainy,0,1,45,15,11,4,Low
Guntur-Sattenapalli,Friday,14,Cloudy,0,0,50,22,21,6,Medium
Tenali-Bapatla,Sunday,17,Sunny,0,1,45,18,16,10,Medium
Guntur-Sattenapalli,Friday,20,Cloudy,0,0,50,32,43,12,Medium
Tenali-Vijayawada,Sunday,13,Rainy,0,1,60,21,18,7,Low
Tenali-Vijayawada,Saturday,13,Sunny,0,1,60,19,18,5,Low
Tenali-Guntur,Thursday,11,Sunny,0,0,55,26,20,10,Medium
Tenali-Repalle,Tuesday,12,Sunny,0,0,42,19,17,5,Medium
Guntur-Tenali,Wednesday,14,Rainy,0,0,55,25,26,8,Medium
Guntur-Sattenapalli,Sunday,20,Sunny,0,1,50,27,35,13,Medium
Guntur-Amaravati,Sunday,21,Sunny,0,1,60,16,12,5,Low
Guntur-Sattenapalli,Sunday,18,Rainy,1,1,50,44,50,20,High
Guntur-Brodipet,Wednesday,16,Rainy,1,0,52,32,32,9,Medium
Guntur-Mangalagiri,Tuesday,20,Sunny,0,0,52,41,52,14,High
Guntur-Narasaraopet,Friday,16,Sunny,0,0,55,19,15,4,Low
Tenali-Repalle,Thursday,6,Sunny,0,0,42,17,16,4,Medium
Guntur-Nallapadu,Friday,6,Cloudy,1,0,48,31,30,10,Medium
Guntur-Sattenapalli,Thursday,7,Rainy,0,0,50,50,50,19,High
Tenali-Chirala,Saturday,22,Sunny,0,1,48,11,11,3,Low
Guntur-Mangalagiri,Tuesday,7,Sunny,1,0,52,52,52,20,High
Tenali-Ongole,Saturday,23,Sunny,0,1,50,13,12,4,Low
Tenali-Chirala,Saturday,18,Rainy,1,1,48,37,48,14,High
Tenali-Ongole,Saturday,9,Cloudy,0,1,50,24,27,10,Medium
Guntur-Mangalagiri,Monday,13,Sunny,0,0,52,18,17,4,Low
Guntur-Mangalagiri,Saturday,8,Cloudy,0,1,52,28,32,11,Medium
Guntur-Narasaraopet,Thursday,8,Cloudy,0,0,55,46,48,21,High
Guntur-Tenali,Tuesday,11,Sunny,0,0,55,25,20,8,Medium
Guntur-Amaravati,Tuesday,22,Sunny,0,0,60,31,31,8,Medium
Tenali-Guntur,Tuesday,5,Sunny,0,0,55,19,16,7,Low
Guntur-Sattenapalli,Monday,5,Rainy,0,0,50,31,30,9,Medium
Tenali-Ongole,Wednesday,13,Cloudy,1,0,50,33,27,9,Medium
Guntur-Sattenapalli,Friday,20,Sunny,1,0,50,46,50,20,High
Tenali-Bapatla,Thursday,13,Sunny,1,0,45,29,18,12,Medium
Tenali-Bapatla,Tuesday,17,Cloudy,0,0,45,35,40,19,High
Tenali-Vijayawada,Saturday,7,Rainy,0,1,60,37,51,16,Medium
Guntur-Narasaraopet,Tuesday,16,Rainy,0,0,55,26,21,6,Medium
Guntur-Sattenapalli,Wednesday,16,Sunny,1,0,50,34,27,8,Medium
Tenali-Bapatla,Sunday,15,Cloudy,1,1,45,15,11,5,Low
Tenali-Chirala,Thursday,10,Sunny,0,0,48,37,46,13,High
Guntur-Nallapadu,Tuesday,14,Sunny,0,0,48,22,19,6,Medium
Guntur-Narasaraopet,Wednesday,10,Foggy,0,0,55,55,55,24,High
Tenali-Repalle,Tuesday,22,Sunny,0,0,42,20,17,5,Medium
Guntur-Amaravati,Saturday,18,Cloudy,1,1,60,57,60,24,High
Tenali-Chirala,Monday,8,Cloudy,0,0,48,35,47,13,Medium
Tenali-Repalle,Saturday,21,Rainy,0,1,42,16,15,4,Low
Tenali-Ongole,Saturday,9,Sunny,0,1,50,26,35,10,Medium
Guntur-Nallapadu,Saturday,10,Cloudy,0,1,48,23,28,10,Medium
Guntur-Mangalagiri,Thursday,23,Sunny,1,0,52,26,24,8,Medium
Guntur-Narasaraopet,Friday,15,Rainy,0,0,55,30,30,7,Medium
Guntur-Tenali,Monday,10,Sunny,0,0,55,41,51,16,Medium
Guntur-Amaravati,Wednesday,19,Rainy,0,0,60,60,60,22,High
Tenali-Bapatla,Monday,12,Sunny,0,0,45,19,15,6,Medium
Guntur-Nallapadu,Wednesday,22,Cloudy,0,0,48,22,23,6,Medium
Guntur-Ponnur,Sunday,7,Sunny,0,1,45,23,27,8,Medium
Guntur-Brodipet,Friday,16,Rainy,0,0,52,24,25,6,Medium
Guntur-Brodipet,Wednesday,9,Rainy,0,0,52,45,52,21,High
Tenali-Vijayawada,Monday,17,Rainy,0,0,60,60,60,24,High
Guntur-Nallapadu,Sunday,22,Sunny,0,1,48,13,11,3,Low
Tenali-Chirala,Sunday,19,Sunny,0,1,48,20,29,7,Medium
Guntur-Ponnur,Wednesday,7,Sunny,0,0,45,30,35,11,Medium
Tenali-Chirala,Thursday,5,Sunny,0,0,48,17,13,4,Low
Tenali-Ongole,Sunday,9,Rainy,0,1,50,26,31,9,Medium
Guntur-Nallapadu,Tuesday,8,Rainy,0,0,48,48,48,22,High
Tenali-Chirala,Wednesday,11,Rainy,0,0,48,28,29,9,Medium
Guntur-Ponnur,Wednesday,9,Sunny,0,0,45,33,45,15,Medium
Guntur-Sattenapalli,Friday,14,Rainy,0,0,50,26,24,7,Medium
Guntur-Sattenapalli,Friday,7,Sunny,0,0,50,45,50,15,High
Guntur-Amaravati,Saturday,5,Sunny,0,1,60,19,14,6,Low
Guntur-Tenali,Friday,7,Sunny,0,0,55,44,55,16,High
Tenali-Guntur,Friday,5,Sunny,0,0,55,20,13,7,Low
Tenali-Guntur,Saturday,18,Sunny,0,1,55,30,33,13,Medium
Guntur-Mangalagiri,Sunday,21,Foggy,0,1,52,12,10,3,Low
Guntur-Narasaraopet,Wednesday,23,Foggy,0,0,55,36,30,8,Medium
Guntur-Ponnur,Monday,17,Cloudy,0,0,45,29,31,12,Medium
Tenali-Guntur,Wednesday,19,Foggy,1,0,55,55,55,33,High
Guntur-Mangalagiri,Wednesday,13,Cloudy,0,0,52,20,16,5,Low
Guntur-Ponnur,Thursday,8,Rainy,0,0,45,40,44,15,High
Guntur-Nallapadu,Saturday,12,Foggy,0,1,48,11,11,3,Low
Guntur-Nallapadu,Monday,6,Cloudy,0,0,48,17,16,5,Low
Guntur-Narasaraopet,Sunday,9,Sunny,0,1,55,29,42,11,Medium
Guntur-Amaravati,Wednesday,13,Sunny,0,0,60,32,32,10,Medium
Guntur-Mangalagiri,Saturday,22,Cloudy,0,1,52,14,14,4,Low
Tenali-Vijayawada,Wednesday,6,Cloudy,0,0,60,28,22,9,Medium
Tenali-Bapatla,Sunday,17,Sunny,0,1,45,24,29,10,Medium
Tenali-Guntur,Wednesday,23,Rainy,0,0,55,26,19,8,Medium
Guntur-Mangalagiri,Friday,12,Sunny,0,0,52,20,15,5,Low
Guntur-Nallapadu,Sunday,21,Cloudy,0,1,48,11,9,3,Low
Guntur-Amaravati,Saturday,22,Rainy,0,1,60,27,22,7,Medium
Tenali-Vijayawada,Friday,6,Sunny,0,0,60,33,29,11,Medium
Tenali-Ongole,Saturday,15,Sunny,0,1,50,11,8,3,Low
Tenali-Repalle,Thursday,8,Cloudy,0,0,42,33,42,14,High
Guntur-Amaravati,Saturday,7,Rainy,0,1,60,39,42,14,Medium
Guntur-Mangalagiri,Thursday,22,Cloudy,0,0,52,19,17,5,Low
Tenali-Bapatla,Thursday,11,Sunny,0,0,45,19,12,7,Medium
Guntur-Tenali,Monday,22,Sunny,0,0,55,22,18,6,Medium
Tenali-Vijayawada,Friday,18,Foggy,0,0,60,60,60,29,High
Tenali-Guntur,Monday,21,Rainy,0,0,55,30,26,9,Medium
Guntur-Mangalagiri,Sunday,11,Sunny,0,1,52,15,15,4,Low
Guntur-Ponnur,Sunday,13,Rainy,0,1,45,12,10,3,Low
Tenali-Vijayawada,Monday,14,Cloudy,0,0,60,34,30,9,Medium
Guntur-Ponnur,Saturday,12,Sunny,0,1,45,10,8,2,Low
Tenali-Guntur,Thursday,15,Sunny,0,0,55,24,20,9,Medium
Tenali-Ongole,Monday,21,Cloudy,1,0,50,30,27,7,Medium
Guntur-Ponnur,Saturday,11,Sunny,0,1,45,11,9,2,Low
Guntur-Tenali,Saturday,7,Sunny,0,1,55,23,30,10,Medium
Guntur-Brodipet,Thursday,9,Rainy,0,0,52,42,52,17,High
Tenali-Chirala,Friday,17,Rainy,1,0,48,48,48,19,High
Guntur-Tenali,Wednesday,14,Sunny,0,0,55,20,17,6,Low
Guntur-Sattenapalli,Thursday,6,Rainy,0,0,50,29,27,9,Medium
Tenali-Repalle,Tuesday,14,Sunny,0,0,42,16,15,5,Low
Guntur-Ponnur,Wednesday,13,Rainy,0,0,45,20,18,5,Medium
Tenali-Ongole,Sunday,9,Sunny,0,1,50,23,27,10,Medium
Guntur-Brodipet,Thursday,13,Sunny,0,0,52,22,18,6,Medium
Tenali-Guntur,Wednesday,5,Cloudy,0,0,55,23,19,7,Medium
Guntur-Nallapadu,Thursday,21,Rainy,0,0,48,28,26,7,Medium
Guntur-Mangalagiri,Tuesday,17,Sunny,0,0,52,47,51,20,High
Tenali-Bapatla,Monday,8,Rainy,1,0,45,45,45,25,High
Tenali-Chirala,Monday,14,Sunny,0,0,48,20,20,6,Medium
Tenali-Vijayawada,Wednesday,21,Foggy,0,0,60,32,30,9,Medium
Guntur-Narasaraopet,Tuesday,7,Cloudy,1,0,55,55,55,22,High
Tenali-Chirala,Wednesday,18,Cloudy,1,0,48,48,48,22,High
Guntur-Amaravati,Monday,17,Sunny,0,0,60,60,60,21,High
Tenali-Bapatla,Thursday,23,Rainy,0,0,45,23,18,7,Medium
Guntur-Narasaraopet,Monday,18,Sunny,1,0,55,55,55,24,High
Tenali-Bapatla,Monday,18,Rainy,0,0,45,42,45,18,High
Tenali-Chirala,Tuesday,21,Cloudy,0,0,48,22,23,6,Medium
Tenali-Vijayawada,Friday,19,Sunny,0,0,60,52,60,23,High
Tenali-Repalle,Friday,11,Rainy,0,0,42,21,18,5,Medium
Tenali-Chirala,Tuesday,5,Sunny,0,0,48,23,18,7,Medium
Guntur-Mangalagiri,Monday,17,Sunny,0,0,52,35,46,14,Medium
Guntur-Narasaraopet,Monday,21,Cloudy,0,0,55,22,22,6,Medium
Guntur-Ponnur,Friday,17,Sunny,0,0,45,37,43,17,High
Tenali-Repalle,Sunday,15,Rainy,0,1,42,14,11,4,Low
Guntur-Ponnur,Saturday,8,Cloudy,0,1,45,22,31,8,Medium
Guntur-Brodipet,Saturday,6,Sunny,0,1,52,11,10,3,Low
Tenali-Guntur,Friday,12,Cloudy,0,0,55,20,14,7,Low
Tenali-Vijayawada,Saturday,15,Foggy,1,1,60,30,26,9,Medium
Guntur-Mangalagiri,Sunday,11,Sunny,0,1,52,14,12,3,Low
Tenali-Guntur,Tuesday,6,Sunny,0,0,55,19,15,6,Low
Tenali-Vijayawada,Saturday,15,Rainy,0,1,60,24,20,8,Medium
Tenali-Bapatla,Friday,20,Foggy,0,0,45,45,45,24,High
Guntur-Brodipet,Saturday,15,Sunny,0,1,52,11,9,3,Low
Guntur-Ponnur,Friday,7,Foggy,0,0,45,45,45,20,High
Tenali-Guntur,Sunday,18,Rainy,0,1,55,36,36,19,Medium
Tenali-Repalle,Monday,23,Cloudy,0,0,42,17,14,4,Medium
Tenali-Ongole,Monday,16,Cloudy,0,0,50,23,20,6,Medium
Tenali-Vijayawada,Sunday,22,Sunny,0,1,60,17,16,5,Low
Guntur-Sattenapalli,Friday,22,Foggy,0,0,50,25,23,6,Medium
Tenali-Vijayawada,Friday,6,Cloudy,0,0,60,35,26,10,Medium
Guntur-Nallapadu,Wednesday,7,Cloudy,0,0,48,36,46,13,High
Tenali-Guntur,Saturday,18,Sunny,0,1,55,28,29,12,Medium
Tenali-Chirala,Friday,7,Cloudy,0,0,48,32,39,13,Medium
Tenali-Bapatla,Tuesday,6,Rainy,0,0,45,28,20,11,Medium
Guntur-Tenali,Tuesday,19,Rainy,1,0,55,55,55,23,High
Tenali-Ongole,Tuesday,20,Cloudy,1,0,50,50,50,17,High
Tenali-Chirala,Wednesday,8,Rainy,0,0,48,48,48,19,High
Guntur-Mangalagiri,Friday,17,Sunny,0,0,52,40,44,16,High
Tenali-Guntur,Sunday,8,Rainy,0,1,55,31,33,15,Medium
Guntur-Mangalagiri,Monday,9,Rainy,0,0,52,52,52,23,High
Tenali-Chirala,Sunday,14,Foggy,0,1,48,14,12,3,Low
Tenali-Chirala,Wednesday,19,Rainy,1,0,48,48,48,21,High
Tenali-Vijayawada,Friday,21,Cloudy,1,0,60,43,44,12,Medium
Tenali-Vijayawada,Thursday,17,Sunny,0,0,60,60,60,23,High
Guntur-Brodipet,Saturday,5,Rainy,0,1,52,14,11,3,Low
Guntur-Tenali,Saturday,17,Cloudy,0,1,55,29,33,12,Medium
Tenali-Guntur,Tuesday,19,Cloudy,0,0,55,36,43,15,Medium
Guntur-Sattenapalli,Saturday,5,Cloudy,0,1,50,16,13,4,Low
Tenali-Bapatla,Monday,10,Rainy,0,0,45,39,39,20,High
Guntur-Mangalagiri,Friday,10,Rainy,0,0,52,52,52,22,High
Tenali-Repalle,Wednesday,22,Cloudy,0,0,42,26,27,7,Medium
Guntur-Nallapadu,Sunday,21,Foggy,0,1,48,15,13,4,Low
Guntur-Brodipet,Thursday,8,Sunny,0,0,52,44,52,17,High
Tenali-Guntur,Sunday,15,Sunny,0,1,55,14,10,5,Low
Guntur-Narasaraopet,Saturday,11,Sunny,0,1,55,17,14,4,Low
Tenali-Ongole,Friday,6,Cloudy,0,0,50,19,15,4,Low
Tenali-Repalle,Sunday,18,Sunny,0,1,42,20,29,8,Medium
Guntur-Ponnur,Wednesday,13,Sunny,0,0,45,17,14,5,Low
Tenali-Bapatla,Saturday,12,Cloudy,0,1,45,13,9,4,Low
Guntur-Brodipet,Tuesday,18,Sunny,0,0,52,45,52,21,High
Guntur-Narasaraopet,Sunday,8,Sunny,0,1,55,25,27,11,Medium
Guntur-Amaravati,Sunday,14,Sunny,0,1,60,19,15,5,Low
Tenali-Bapatla,Thursday,7,Sunny,0,0,45,32,36,18,Medium
Guntur-Ponnur,Saturday,23,Rainy,0,1,45,13,10,4,Low
Guntur-Narasaraopet,Friday,6,Sunny,0,0,55,25,23,6,Medium
Tenali-Ongole,Tuesday,5,Sunny,0,0,50,24,24,6,Medium
Tenali-Guntur,Saturday,23,Sunny,0,1,55,14,9,4,Low
Guntur-Amaravati,Wednesday,5,Sunny,0,0,60,35,36,9,Medium
Guntur-Brodipet,Friday,16,Sunny,0,0,52,21,21,6,Medium
Tenali-Guntur,Saturday,13,Sunny,0,1,55,15,10,5,Low
Guntur-Tenali,Saturday,20,Sunny,1,1,55,29,33,11,Medium
Guntur-Tenali,Sunday,20,Foggy,0,1,55,32,40,14,Medium
Tenali-Ongole,Monday,8,Foggy,0,0,50,41,50,19,High
Guntur-Ponnur,Tuesday,6,Cloudy,0,0,45,16,12,5,Low
Tenali-Bapatla,Monday,17,Cloudy,1,0,45,39,43,17,High
Guntur-Nallapadu,Saturday,15,Cloudy,0,1,48,13,12,4,Low
Guntur-Narasaraopet,Saturday,11,Sunny,0,1,55,20,18,5,Low
Tenali-Ongole,Sunday,22,Sunny,0,1,50,12,11,3,Low
Guntur-Ponnur,Saturday,7,Rainy,0,1,45,26,34,12,Medium
Guntur-Amaravati,Tuesday,6,Sunny,0,0,60,26,23,8,Medium
Guntur-Mangalagiri,Saturday,20,Cloudy,0,1,52,24,34,11,Medium
Tenali-Ongole,Wednesday,7,Foggy,0,0,50,37,47,13,Medium
Tenali-Chirala,Friday,16,Rainy,0,0,48,25,22,7,Medium
Guntur-Ponnur,Sunday,16,Sunny,0,1,45,13,11,3,Low
Guntur-Brodipet,Wednesday,5,Rainy,0,0,52,25,21,8,Medium
Guntur-Amaravati,Monday,6,Sunny,0,0,60,28,23,8,Medium
Guntur-Narasaraopet,Sunday,23,Cloudy,1,1,55,20,19,5,Low
Tenali-Vijayawada,Tuesday,5,Rainy,0,0,60,32,27,10,Medium
Tenali-Bapatla,Friday,7,Sunny,0,0,45,33,36,14,Medium
Tenali-Repalle,Thursday,9,Cloudy,0,0,42,29,42,12,Medium
Guntur-Nallapadu,Saturday,18,Sunny,0,1,48,21,31,9,Medium
Guntur-Mangalagiri,Saturday,16,Sunny,0,1,52,11,8,3,Low
Guntur-Ponnur,Tuesday,22,Sunny,0,0,45,20,19,4,Medium
Guntur-Mangalagiri,Sunday,13,Sunny,0,1,52,11,10,3,Low
Tenali-Guntur,Monday,15,Sunny,0,0,55,19,14,8,Low
Guntur-Tenali,Wednesday,20,Sunny,0,0,55,40,55,18,Medium
Guntur-Brodipet,Friday,13,Sunny,0,0,52,20,19,5,Low
Tenali-Bapatla,Wednesday,19,Rainy,0,0,45,38,45,20,High
Guntur-Amaravati,Thursday,9,Rainy,0,0,60,60,60,29,High
Guntur-Tenali,Thursday,13,Sunny,0,0,55,20,18,6,Low
Guntur-Amaravati,Friday,20,Rainy,0,0,60,60,60,29,High
Tenali-Vijayawada,Tuesday,7,Sunny,0,0,60,54,60,21,High
Tenali-Guntur,Friday,22,Rainy,0,0,55,32,27,11,Medium
Guntur-Sattenapalli,Saturday,6,Rainy,0,1,50,22,18,6,Medium
Guntur-Amaravati,Thursday,19,Sunny,0,0,60,51,60,24,High
Guntur-Nallapadu,Wednesday,15,Rainy,0,0,48,28,24,9,Medium
Guntur-Sattenapalli,Friday,17,Sunny,0,0,50,36,39,14,Medium
Guntur-Amaravati,Monday,9,Foggy,1,0,60,60,60,24,High
Tenali-Bapatla,Friday,5,Sunny,0,0,45,19,13,5,Medium
Tenali-Ongole,Monday,23,Cloudy,0,0,50,24,22,6,Medium
Tenali-Bapatla,Wednesday,6,Sunny,0,0,45,18,13,5,Medium
Tenali-Guntur,Sunday,13,Sunny,0,1,55,12,9,3,Low
Tenali-Guntur,Saturday,14,Sunny,0,1,55,13,11,5,Low
Guntur-Narasaraopet,Thursday,10,Cloudy,0,0,55,39,54,15,Medium
Tenali-Vijayawada,Saturday,11,Sunny,0,1,60,17,14,4,Low
Guntur-Amaravati,Tuesday,15,Cloudy,0,0,60,31,24,10,Medium
Guntur-Brodipet,Sunday,21,Sunny,0,1,52,12,11,4,Low
Tenali-Chirala,Friday,10,Rainy,0,0,48,48,48,22,High
Guntur-Mangalagiri,Friday,14,Sunny,0,0,52,18,17,4,Low
Guntur-Ponnur,Tuesday,8,Cloudy,0,0,45,37,45,13,High
Guntur-Narasaraopet,Monday,8,Rainy,0,0,55,51,55,18,High
